timestamp,source_chain,destination_chain,token,amount_usd,gas_price_gwei,network_congestion,bridge_latency_sec,bridge,fee_usd
2023-02-05 15:28:00,Arbitrum,Polygon,DAI,7411.7,147.65,0.45,49.86,Hop,24.64
2023-02-24 12:57:00,BSC,BSC,ETH,1556.68,81.15,0.53,32.3,Wormhole,29.06
2023-02-14 17:14:00,Ethereum,Ethereum,DAI,2593.33,35.3,0.5,38.68,LI.FI,21.49
2023-02-10 17:09:00,Avalanche,Avalanche,USDT,6237.25,135.22,0.31,5.38,Stargate,25.86
2023-01-27 08:08:00,Ethereum,BSC,USDT,2423.23,105.42,0.48,50.99,Stargate,5.14
2023-03-05 15:40:00,BSC,Ethereum,ETH,5478.03,90.54,0.43,50.09,Celer,24.83
2023-01-28 11:59:00,Avalanche,Arbitrum,USDC,9500.96,169.19,0.52,14.97,Hop,25.17
2023-01-16 10:08:00,Arbitrum,Polygon,USDT,5949.49,97.05,0.31,29.55,Hop,3.73
2023-01-18 02:25:00,Avalanche,Ethereum,USDT,3046.87,62.05,0.61,38.11,Hop,8.56
2023-02-07 21:20:00,Avalanche,Ethereum,USDT,5669.64,40.88,0.22,39.07,Celer,0.85
2023-01-09 04:46:00,Arbitrum,Ethereum,ETH,2482.09,34.5,0.37,45.4,Stargate,19.66
2023-01-26 16:53:00,Polygon,Ethereum,USDC,8191.95,178.67,0.6,31.69,Wormhole,3.91
2023-02-17 07:20:00,Polygon,Ethereum,USDT,9857.32,103.83,0.83,29.92,Wormhole,23.73
2023-02-19 09:48:00,Avalanche,Arbitrum,USDT,7318.31,143.2,0.96,29.48,LI.FI,19.25
2023-02-16 22:16:00,Polygon,Ethereum,USDC,8128.21,78.8,0.9,57.11,Hop,4.51
2023-03-09 21:09:00,Avalanche,Arbitrum,USDT,783.39,142.03,0.37,16.66,Celer,6.62
2023-01-14 08:37:00,Avalanche,Polygon,USDT,5615.17,36.03,0.63,13.41,Stargate,4.01
2023-01-27 05:29:00,Avalanche,Arbitrum,USDT,5705.37,138.2,0.86,20.4,Wormhole,15.75
2023-02-14 21:19:00,Avalanche,Polygon,ETH,9031.0,77.56,0.83,26.36,LI.FI,18.4
2023-01-27 16:04:00,Arbitrum,BSC,DAI,5345.83,101.46,0.1,34.0,Stargate,20.67
2023-02-23 10:56:00,Arbitrum,Avalanche,USDT,530.79,29.51,0.74,51.63,Wormhole,5.25
2023-01-25 03:45:00,BSC,BSC,DAI,1591.24,153.73,0.35,42.89,LI.FI,23.91
2023-01-16 19:33:00,Ethereum,Arbitrum,USDT,6071.39,164.28,0.18,51.98,Celer,5.41
2023-01-01 00:05:00,Ethereum,Avalanche,USDT,1801.55,172.97,0.88,22.98,Celer,18.52
2023-03-10 00:27:00,Avalanche,Avalanche,USDC,1661.51,112.85,0.63,26.45,LI.FI,18.5
2023-01-03 20:52:00,Arbitrum,Avalanche,USDC,170.55,96.46,0.69,41.17,LI.FI,23.42
2023-01-21 13:25:00,Polygon,Polygon,USDC,5369.72,34.26,0.62,13.76,Wormhole,5.92
2023-01-18 03:57:00,BSC,Ethereum,USDC,404.62,73.62,0.26,34.09,Stargate,28.83
2023-02-26 02:17:00,Ethereum,Avalanche,USDC,9017.61,85.62,0.77,52.84,Celer,14.09
2023-01-09 13:57:00,Polygon,Polygon,DAI,4128.56,167.37,0.24,19.57,Stargate,11.81
2023-03-09 09:04:00,Ethereum,Arbitrum,ETH,7626.03,180.13,0.9,38.51,LI.FI,17.81
2023-02-22 19:14:00,BSC,Polygon,ETH,7939.58,188.32,0.71,15.8,LI.FI,19.2
2023-03-09 18:55:00,BSC,Arbitrum,ETH,5656.04,164.82,0.66,46.86,Hop,10.06
2023-01-31 18:26:00,Arbitrum,Arbitrum,USDT,2792.74,174.48,0.51,20.94,LI.FI,20.34
2023-02-05 11:40:00,Polygon,Polygon,ETH,1323.04,138.94,0.32,14.53,Hop,19.8
2023-03-07 16:58:00,BSC,Avalanche,USDT,81.91,143.9,0.62,48.11,Wormhole,0.14
2023-01-17 14:19:00,BSC,Avalanche,DAI,8658.48,135.45,0.34,45.54,Wormhole,10.16
2023-01-17 03:56:00,BSC,BSC,ETH,6767.26,44.27,0.36,29.36,Wormhole,6.99
2023-02-26 07:41:00,Arbitrum,Ethereum,DAI,5677.49,186.89,0.7,13.31,Celer,12.35
2023-02-21 08:55:00,Avalanche,Arbitrum,USDC,150.19,75.74,0.88,37.78,Hop,11.82
2023-02-08 22:45:00,BSC,Avalanche,USDC,4655.96,127.3,0.29,44.08,Stargate,26.55
2023-01-23 19:43:00,Avalanche,Polygon,DAI,3873.22,39.04,0.13,42.91,Stargate,1.17
2023-03-01 14:23:00,BSC,Arbitrum,DAI,3349.93,6.47,0.98,49.03,Stargate,17.63
2023-01-04 01:45:00,Polygon,Ethereum,USDT,9423.54,61.96,0.47,8.73,Hop,20.17
2023-01-10 20:39:00,BSC,Ethereum,USDT,826.43,157.86,0.89,29.64,Stargate,5.5
2023-02-02 05:49:00,Ethereum,BSC,ETH,4462.32,83.99,0.21,14.98,Wormhole,5.63
2023-02-23 18:37:00,Ethereum,Avalanche,USDC,2428.5,56.91,0.65,30.64,Stargate,20.11
2023-02-22 20:10:00,BSC,BSC,USDC,8256.8,97.85,0.64,30.94,Hop,8.08
2023-01-01 00:30:00,Arbitrum,Arbitrum,USDC,5828.48,173.47,0.53,36.27,Celer,21.83
2023-02-17 08:20:00,Avalanche,Ethereum,DAI,9576.57,70.92,0.63,57.81,Celer,21.3
